title,address,latitude,longitude
세븐일레븐제주화북진동점,제주특별자치도 제주시 진동로 33,3964795.755,14089466.03
세븐일레븐제주화북,제주특별자치도 제주시 진남로6길 21,3964616.633,14089224.06
씨유제주삼광충전소점,제주특별자치도 제주시 번영로 152,3962468.099,14088800.77
지에스25화북거로,제주특별자치도 제주시 거로남4길 37-1,3962748.943,14088829.24
씨유제주화북점,제주특별자치도 제주시 화남로 66,3963460.114,14088987.17
씨유제주거로길점,제주특별자치도 제주시 거로길 21,3963715.185,14088373.8
지에스25제주원당점(상품권),제주특별자치도 제주시 선사로8길 80,3965745.106,14092228.37
지에스25삼양포구점,제주특별자치도 제주시 서흘1길 28,3965704.022,14091864.63
세븐일레븐제주삼양서흘점,제주특별자치도 제주시 서흘2길 30,3965728.667,14092082.39
지에스25제주원당점,제주특별자치도 제주시 선사로8길 80,3965746.359,14092231.95
씨유삼양해수욕장점,제주특별자치도 제주시 선사로8길 14,3965267.523,14091639.26
세븐일레븐제주삼양해수욕장점,제주특별자치도 제주시 원당로5길 36,3965439.874,14091741.18
씨유제주삼양원당점,제주특별자치도 제주시 원당로 39,3965146.761,14091964.44
씨유제주선사로점,제주특별자치도 제주시 선사로8길 55-1,3965592.59,14091991.96
GS25제주원당점,제주특별자치도 제주시 선사로8길 80,3965745.106,14092228.37
씨유제주삼봉로점,제주특별자치도 제주시 삼봉로2길 64,3964467.131,14090950.35
지에스25제주삼양초교점,제주특별자치도 제주시 지석14길 15,3964496.82,14091447.21
씨유제주설촌로점,제주특별자치도 제주시 설촌로12길 23-1,3965154.719,14091138.71
지에스25삼양,제주특별자치도 제주시 선사로 31,3965089.636,14091484.7
씨유제주신,제주특별자치도 제주시 일주동로 379,3964717.182,14091451.41
씨유제주삼화,제주특별자치도 제주시 화삼로 167,3964417.666,14091381.18
편의점,제주특별자치도 제주시 화삼로 167,3964417.666,14091381.18
씨유제주,제주특별자치도 제주시 일주동로 326,3964675.606,14090790.54
세븐일레븐제주삼양,제주특별자치도 제주시 설촌로 16-1,3964930.214,14091008.75
씨유제주봉개,제주특별자치도 제주시 번영로 470,3960719.045,14092186
씨유제주명도암점,제주특별자치도 제주시 명림로 236,3957325.081,14094267.52
지에스GS라헨느리조트점,제주특별자치도 제주시 명림로 374,3955617.556,14094593.15
세븐일레븐제주번영로점,제주특별자치도 제주시 번영로 388,3961201.703,14091309.82
세븐일레븐제주봉개LH점,제주특별자치도 제주시 봉개대동6길 48-7,3960387.34,14092395.3
씨제이올리브영제주아라일동점,제주특별자치도 제주시 연북로 527,3959882.653,14085947.46
보손,제주특별자치도 제주시 산천단동1길 24,3955125.16,14088230.28
세븐일레븐제주아란길점,제주특별자치도 제주시 아란7길 1,3958419.248,14086954.81
집밥뚝딱아라초등학교점,제주특별자치도 제주시 중앙로 532,3958609.578,14086885.09
GS25제대,제주특별자치도 제주시 산천단동2길 20,3955150.731,14088425.08
씨유제주516교차로점,제주특별자치도 제주시 516로 3157,3955941.259,14087579.62
세븐일레븐제주대자연과학점,제주특별자치도 제주시 제주대학로 102,3956151.04,14089079.39
제주대학교소비자생활협동조합,제주특별자치도 제주시 제주대학로 102,3956151.04,14089079.39
씨유제주구산로점,제주특별자치도 제주시 구산로 28,3959596.045,14086187.43
세븐일레븐제주여중고점,제주특별자치도 제주시 구산로 46,3959710.42,14086361.9
씨유제주대점,제주특별자치도 제주시 산천단동3길 29,3955230.022,14088418
세븐제주대학교병원점,제주특별자치도 제주시 아란13길 15,3957481.971,14086953.5
GS25아라나래점,제주특별자치도 제주시 인다2길 75-1,3958032.703,14087531.42
지에스25아라스위첸점,제주특별자치도 제주시 아란9길 25,3958192.418,14086653.79
세븐일레븐제주아라점,제주특별자치도 제주시 인다2길 66,3958106.344,14087463.34
지에스25제주대원점,제주특별자치도 제주시 아연로 516,3958701.405,14085804.75
지에스25아라인다점,제주특별자치도 제주시 인다10길 42,3958422.123,14087502.06
씨유제주아라초교점,제주특별자치도 제주시 중앙로 530,3958628.657,14086872.84
씨유제주아란,제주특별자치도 제주시 아란15길 26,3957881.838,14086727.58
